RandomSeed	CP1	CP2	CP3	CP4
3759202793	3660	3820	3970	4290
1138442809	530	1160	1620	2100
3336585107	1140	1560	2010	3270
1116488063	1110	3230	3540	4220
566794000	1470	3250	4500	5000
1222473724	660	1140	2320	4060
1698521278	1690	3570	3970	4440
530018158	1440	2910	4130	4760
2656131670	1200	1890	2200	3700
3559498445	360	790	1800	3930
698026734	3760	4170	4560	4950
3751993517	970	3190	4480	4890
3151385279	1650	2170	2580	3970
1114527363	2090	3380	4610	4970
3907184098	1370	1700	2010	4080
2538796669	1730	2930	3540	4080
2096588427	3490	3870	4320	4890
1376945495	930	1260	1640	3750
730668349	1620	2210	2760	3490
2361034177	1540	3640	4060	4430
1842764728	1290	1800	2180	4000
2788259125	510	1000	1540	2070
623755895	1310	2750	4120	4830
3135195880	3000	3690	4230	4770
1089307291	1460	2780	3350	3870
204236361	1130	1590	2120	3950
1975057108	600	1090	3220	4030
3907732664	1310	3130	4390	4880
2779632337	1430	1860	2210	4030
2111087224	590	1070	2620	3320
2555099595	1220	1630	2080	2980
1841155218	1460	3250	3620	3980
1240523953	1140	1500	1810	3900
3661630131	550	1000	2800	3780
3310954208	460	1020	2130	4170
2770908058	1600	2680	3170	3830
1567125378	3570	4060	4490	4950
1752154852	510	1010	1890	4350
1548182810	1290	1890	2610	3860
1748206163	1980	3390	3760	4110
101984890	1040	1490	2030	3400
662628738	520	980	1580	1950
3142392960	620	1080	2790	4160
1792385598	1500	2720	4010	4840
